iteration,env_steps,reward_mean,reward_max,max_reward_std
0.0,3000.0,0.6078547414546045,5.589351582759428,1.0547441586263437
1.0,6300.0,2.4025486477624503,6.945314318054666,1.2793411902145704
2.0,9600.0,3.281987403737295,7.031697540730871,1.1723856094786438
3.0,13200.0,3.630651517837001,8.557768107983204,1.1977866612317762
4.0,17100.0,4.713127457691439,10.124774166888155,1.2131123268093411
5.0,21300.0,4.5221891677277775,11.705524676060064,1.2212292223245855
6.0,26100.0,6.654081296120069,14.692812323955875,1.2427747817604409
7.0,31200.0,7.257621313468709,16.025970280135923,1.337556246115678
8.0,36900.0,9.048443418149688,18.1868470518345,1.3854488287241205
9.0,43200.0,10.47745130607045,19.89806730695716,1.326710599508604
10.0,50100.0,11.444102677883667,21.10213020811509,1.2382186289310053
11.0,57600.0,11.93058220351663,21.99022131196263,1.173221887447932
12.0,66000.0,13.157175511028765,23.142471903671545,1.1439644061019256
13.0,75300.0,15.376351942476438,24.055968691870422,1.070042248399659
14.0,85500.0,13.356282108450738,24.781505675401377,1.0355109500727642
15.0,96600.0,12.405756358257472,25.379493097080722,0.9937486710025282
16.0,108900.0,14.963896006035824,26.182643371305446,0.9376171500142131
17.0,122400.0,14.91821934394779,26.86817620919147,0.9122248148806191
18.0,137400.0,12.079632686413472,27.66418357899829,0.9283561355728808
19.0,153900.0,13.52497832571844,28.301151341137594,0.9555097654768065
20.0,172200.0,14.685413629376818,29.014940764669607,0.8161182785446878
21.0,192300.0,10.697237063477603,29.683022132309414,0.8318862720290364
22.0,214500.0,14.029007320070198,30.361431154838687,0.8560320976850451
23.0,238800.0,15.009513338484576,30.951510500880897,0.8841470387096463
24.0,265500.0,13.527027462036495,31.5382882087809,0.9192189066632968
25.0,294900.0,14.19420275074825,32.10797255741204,0.9607365312869887
26.0,327300.0,14.519411091451921,32.72896514312283,0.811080154482158
27.0,363000.0,17.374697493458196,33.31456839574501,0.8511565526995912
28.0,402300.0,13.292671663359892,36.02573850115732,1.0294087608863793
29.0,445500.0,11.298068136904625,34.46704896050675,0.5358269795859656
30.0,492900.0,13.029014778464052,34.98010315629933,0.5628911348708775
31.0,545100.0,13.710761089616007,35.54615003978608,0.4323506705595075
32.0,602400.0,13.701033747466346,36.13373854242758,0.42177875135451787
33.0,665700.0,14.323949741645436,36.738698117688635,0.4181320788980367
34.0,735300.0,8.34636645240117,37.42329417058546,0.5247970533093615
35.0,811800.0,15.872498930291192,37.92495380821873,0.5224744695079486
36.0,896100.0,10.752543614378924,38.41298314676194,0.5219465862736938
37.0,988800.0,12.498281278573536,38.863028516870685,0.5231726648500233
38.0,1090800.0,13.408064670779089,39.31304207860631,0.5553730909744284
39.0,1203000.0,14.332800181258158,39.79322185329833,0.47369118749131744
40.0,1326300.0,12.906966079603805,40.251750984260134,0.5039523218361879
41.0,1461900.0,14.062233877551485,40.91929162469117,0.7062206719173887
42.0,1611000.0,16.341676723235537,41.330173223512524,0.7225132353185296
43.0,1775100.0,16.6135275884375,112.18100808737545,4.9235203023558185
44.0,1955700.0,16.419693130831096,128.8856589266962,1.8804702429883213
45.0,2154300.0,16.171251338748245,141.88785338864056,0.9087604109524482
46.0,2372700.0,23.5093809706408,147.3788470659321,5.388857679824762
47.0,2613000.0,35.365072051113685,168.38483780234137,13.041949693422636
48.0,2877300.0,53.09442089885563,196.5754434727609,9.7409278097754
49.0,3168300.0,59.67841196735958,231.57645083098467,4.36788695740724
50.0,3468300.0,66.48484885968777,220.75009548161515,0.6305629949040332
51.0,3768300.0,64.95197625296832,247.83624473400178,5.290971373329724
52.0,4068300.0,61.075924117293404,271.1275639155213,0.6417235916443843
53.0,4368300.0,83.57498351208649,271.12793323704597,0.6411432084945994
54.0,4668300.0,76.85875713148843,301.2626370919646,2.0320446392085585
55.0,4968300.0,77.57905582394883,301.29747744059017,2.0156323224914545
56.0,5268300.0,68.81178452037186,301.29747744059017,2.0156323224914545
57.0,5568300.0,66.11383684153152,312.37804800716214,2.4179035307079517
58.0,5868300.0,68.61304647339097,312.37804800716214,2.4179035307079517
59.0,6168300.0,67.79429355541458,331.5262185074842,3.6132181412476534
60.0,6468300.0,76.37929505091056,331.1126993229844,4.362010638209746
61.0,6768300.0,81.30736498309477,331.1126993229844,4.362010638209746
62.0,7068300.0,73.40822787073543,331.1126993229844,4.362010638209746
63.0,7368300.0,84.3853294643291,334.24222553182864,3.5763963631618365
64.0,7668300.0,92.21988204108084,334.24222553182864,3.5763963631618365
65.0,7968300.0,74.24303799148517,334.24222553182864,3.5763963631618365
66.0,8268300.0,80.47576934811369,334.24222553182864,3.5763963631618365
67.0,8568300.0,87.49295818079698,340.3301003028408,2.649586430273306
68.0,8868300.0,67.18164209560072,340.3552368234676,2.6555666586336124
69.0,9168300.0,73.32477326603829,340.3552368234676,2.6555666586336124
70.0,9468300.0,84.72391420907692,353.59882033596256,2.776196392012595
71.0,9768300.0,72.5988689807614,353.7324663756808,2.9290000327219783
72.0,10068300.0,61.637373821849316,353.7324663756808,2.9290000327219783
73.0,10368300.0,75.96396274094568,353.7324663756808,2.9290000327219783
74.0,10668300.0,75.04987297723761,353.7324663756808,2.9290000327219783
75.0,10968300.0,61.570109647030904,353.7324663756808,2.9290000327219783
76.0,11268300.0,68.12487955862471,353.7324663756808,2.9290000327219783
77.0,11568300.0,75.61766916802176,353.7324663756808,2.9290000327219783
78.0,11868300.0,78.7613151432678,353.7324663756808,2.9290000327219783
79.0,12168300.0,90.56794224790028,353.7324663756808,2.9290000327219783
80.0,12468300.0,72.4761194326566,353.7324663756808,2.9290000327219783
81.0,12768300.0,64.78822850446713,353.7324663756808,2.9290000327219783
82.0,13068300.0,88.98662192211356,353.7324663756808,2.9290000327219783
83.0,13368300.0,84.7492436880251,353.7324663756808,2.9290000327219783
84.0,13668300.0,76.38365516593032,353.7324663756808,2.9290000327219783
85.0,13968300.0,76.96744675126273,353.7324663756808,2.9290000327219783
86.0,14268300.0,88.29065737903312,353.7324663756808,2.9290000327219783
87.0,14568300.0,87.68954206994884,353.7324663756808,2.9290000327219783
88.0,14868300.0,74.00412438528225,353.7324663756808,2.9290000327219783
89.0,15168300.0,51.0395121801301,353.7324663756808,2.9290000327219783
90.0,15468300.0,85.47548712125328,353.7324663756808,2.9290000327219783
