iteration,env_steps,reward_mean,reward_max,max_reward_std
0.0,3000.0,-0.6142632954053621,3.070003615135484,1.8412911007155248
1.0,6300.0,0.1458108144344619,4.1370825161010005,1.6245647055712178
2.0,9600.0,-0.3885903802486077,5.1486980650025345,1.106666347526481
3.0,13200.0,0.15912363912238953,5.942673565824124,1.2054240812318937
4.0,17100.0,0.6469886316434086,6.177073613782279,1.0967957799739727
5.0,21300.0,1.5051576458388214,6.26603491173871,1.051246885641845
6.0,26100.0,1.9820686465248838,7.386098611765255,1.429081020520203
7.0,31200.0,1.6268468574997084,7.711926984035672,3.1480044192371825
8.0,36900.0,2.3501157860968456,8.843163368499562,3.313318023014713
9.0,43200.0,1.884875320045756,9.693823571685078,3.0976842730259353
10.0,50100.0,1.6572798574092178,10.169148139548396,2.6307802930559845
11.0,57600.0,1.3392791613511514,12.109507245044076,1.0213609946734634
12.0,66000.0,0.755273257463038,13.600037465572965,1.296658256682316
13.0,75300.0,-0.6652714215527084,16.278089723604904,9.980809727930994
14.0,85500.0,-0.5836770481003125,17.94358360030087,9.381248020580022
15.0,96600.0,-1.4023083693260574,22.66247018548269,7.906947278941259
16.0,108900.0,-2.6951275026419546,26.053939017584952,8.730922297329295
17.0,122400.0,-2.0895107815581433,30.121104884871258,8.606587628122647
18.0,137400.0,-6.744075870782004,35.032094807283805,8.130080219725949
19.0,153900.0,-5.120637944598263,38.459337807227676,8.58006002812452
20.0,172200.0,-6.44977228284433,44.49878920636042,9.240565652749906
21.0,192300.0,-5.850451566398618,51.40978804580843,10.438659698870918
22.0,214500.0,-6.491530575817024,59.079780800869976,9.763152021571916
23.0,238800.0,-1.2886420931968359,68.81524146756396,3.4682288452833943
24.0,265500.0,-2.6860027239961255,70.45536915546309,0.5097005418273469
25.0,294900.0,-3.929341910731582,77.66100840904465,9.488474671874696
26.0,327300.0,4.7120430394169945,115.34533884238908,42.577885910529254
27.0,363000.0,-1.6117335436981284,125.81012084962595,45.83730401882971
28.0,402300.0,7.051052824706777,201.29378203608164,5.424354266779512
29.0,445500.0,-5.670267070927889,229.0608551573357,5.356979009120378
30.0,492900.0,-3.7120495410081538,255.90401010982941,2.6356032786195756
31.0,545100.0,8.04005364049378,289.49474857637443,3.491548908079109
32.0,602400.0,6.285348724343996,324.52571199867816,1.147307192510838
33.0,665700.0,33.887203461851094,367.39101080070196,2.8575024529103943
34.0,735300.0,28.340266466586105,409.6750725357347,2.948142125358773
35.0,811800.0,37.61669582017154,456.614384074187,1.3922004279112132
36.0,896100.0,65.2505926952873,506.368187100302,3.366244249393664
37.0,988800.0,56.76244076060244,553.3080196095499,7.912396472157687
38.0,1090800.0,71.41153923859814,616.8272328659696,6.221087683179681
39.0,1203000.0,79.25687578220314,687.0332275706578,11.236470794636839
40.0,1326300.0,78.12798414642347,756.8817351265883,18.57953522088695
41.0,1461900.0,89.24488397098996,841.9120027501193,21.132978468975423
42.0,1611000.0,96.8274217071776,949.4428975911218,29.540700941316945
43.0,1775100.0,68.11494827411505,1034.9924676039552,20.543057174487593
44.0,1955700.0,156.42049990609564,1179.6293029903534,52.25065882100824
